T78274A 64.39306 388.42039 ['site']
T78269A 213.21256 290.85289 ['site']
T78271C 85.85741 290.4645 ['site']
T78259C 198.903 265.90508 ['site']
T78258B 64.39306 239.08979 ['site']
T70744A 213.21256 237.03995 ['site']
T78273C 213.21256 233.9107 ['site']
T70744B 213.21256 225.25989 [('pa', '1800'), ('pa', '2100'), ('pa', '2600')]
T78262A 85.85741 224.91193 [('5g', '3500'), ('pa', '1800'), ('pa', '2100'), ('pa', '2600'), ('4g', '700')]
T78274C 64.39306 222.88799 [('5g', '3500'), ('pa', '1800'), ('pa', '2100'), ('5g', '2600'), ('pa', '800')]
T78258A 64.39306 188.01553 [('5g', '3500'), ('pa', '1800')]
T78258C 64.39306 180.07578 [('5g', '3500')]
T78271A 85.85741 142.84588 [('5g', '3500')]
T78280C 42.9287 142.33051 [('5g', '3500')]
T78271B 85.85741 138.85665 [('5g', '3500')]
T70745B 64.39306 125.25556 [('5g', '3500')]
T70736C 14.30957 120.41623 [('5g', '3500')]
T70725A 85.85741 113.38225 [('5g', '3500')]
T70730A 64.39306 110.63811 [('5g', '3500')]
T70745A 64.39306 100.85308 [('5g', '3500')]
T70747C 42.9287 94.46449 [('5g', '3500')]
T70725B 85.85741 93.78497 [('5g', '700')]
T78262C 85.85741 90.35955 [('pa', '1800')]
T70736B 14.30957 89.49027 [('5g', '3500')]
T70730B 64.39306 85.28576 [('4g', '2600')]
T78274B 64.39306 68.25991 [('pa', '1800')]
T70747A 42.9287 62.95471 [('4g', '2100')]
T70747B 42.9287 61.91044 [('4g', '2100')]
T36870A 42.9287 52.89304 [('4g', '2100')]
T78280A 42.9287 43.8695 [('pa', '1800')]
T70736A 14.30957 41.03853 [('5g', '1800')]
T78279C 14.30957 16.25619 [('pa', '800')]
T78279A 14.30957 15.11284 [('pa', '800')]
