,secteur,tstamp,trafic_mbps
0,T70721A,1529272800,0.0
1,T70721B,1529272800,1.788239175
2,T70721C,1529272800,0.0
3,T70722A,1529272800,4.437942091
4,T70722B,1529272800,10.88575182
5,T70722C,1529272800,9.281002153
6,T70724A,1529272800,10.03486148
7,T70724B,1529272800,5.461289318
8,T70724C,1529272800,7.793847796
9,T70725A,1529272800,8.759070612
10,T70725B,1529272800,11.87636959
11,T70725C,1529272800,7.672495766
12,T70730A,1529272800,22.13328196
13,T70730B,1529272800,9.802096004
14,T70730C,1529272800,9.699681491
15,T70735A,1529272800,8.83525177
16,T70735B,1529272800,6.046903468
17,T70735C,1529272800,5.804729714
18,T70737A,1529272800,6.612222405
19,T70737B,1529272800,7.812802837
20,T70737C,1529272800,10.30270133
21,T70738A,1529272800,15.20943498
22,T70738B,1529272800,4.350700299
23,T70738C,1529272800,9.00769979
24,T70743A,1529272800,0.295335199
25,T70743B,1529272800,8.537566013
26,T70743C,1529272800,2.425284027
27,T70744A,1529272800,12.00176252
28,T70744B,1529272800,18.6154856
29,T70744C,1529272800,3.823895265
30,T70745A,1529272800,7.155199814
31,T70745B,1529272800,7.013028881
32,T70745C,1529272800,5.622777879
33,T70747A,1529272800,1.17516034
34,T70747B,1529272800,0.944849771
35,T70747C,1529272800,17.2165501
36,T76995A,1529272800,6.027216223
37,T76995B,1529272800,1.449225048
38,T76995C,1529272800,8.466260568
39,T77125A,1529272800,3.190361265
40,T77125B,1529272800,2.358951285
41,T77125C,1529272800,20.63551879
42,T78256A,1529272800,15.25194949
43,T78256B,1529272800,14.57527441
44,T78256C,1529272800,15.85652611
45,T78258A,1529272800,9.602803189
46,T78258B,1529272800,11.6185005
47,T78258C,1529272800,19.92124609
48,T78259A,1529272800,6.185166761
49,T78259B,1529272800,7.637484045
50,T78259C,1529272800,5.751813496
51,T78262A,1529272800,9.239082571
52,T78262B,1529272800,7.608174953
53,T78262C,1529272800,10.92978753
54,T78264A,1529272800,0.683475699
55,T78264B,1529272800,0.734619623
56,T78264C,1529272800,2.783759022
57,T78269A,1529272800,10.30966916
58,T78269B,1529272800,17.81415214
59,T78269C,1529272800,4.012278055
60,T78270A,1529272800,7.509121287
61,T78270B,1529272800,1.463685414
62,T78270C,1529272800,3.012648065
63,T78271A,1529272800,15.66389617
64,T78271B,1529272800,12.42690934
65,T78271C,1529272800,26.88845074
66,T78273A,1529272800,2.823237764
67,T78273B,1529272800,9.4993476
68,T78273C,1529272800,22.86261157
69,T78274A,1529272800,16.32143926
70,T78274B,1529272800,2.642857082
71,T78274C,1529272800,7.915262947
72,T78279A,1529272800,1.649628127
73,T78279B,1529272800,0.470290288
74,T78279C,1529272800,2.500077583
75,T78280A,1529272800,0.937310026
76,T78280B,1529272800,9.322309731
77,T78280C,1529272800,4.546617435
78,T70721A,1529877600,0.0
79,T70721B,1529877600,1.978748013
80,T70721C,1529877600,0.0
81,T70722A,1529877600,4.031521147
82,T70722B,1529877600,11.29706832
83,T70722C,1529877600,12.56577631
84,T70724A,1529877600,10.30970287
85,T70724B,1529877600,4.302103458
86,T70724C,1529877600,5.835779443
87,T70725A,1529877600,7.025654114
88,T70725B,1529877600,12.48662469
89,T70725C,1529877600,6.794972725
90,T70730A,1529877600,22.72969314
91,T70730B,1529877600,9.916601055
92,T70730C,1529877600,8.664117274
93,T70735A,1529877600,8.158290563
94,T70735B,1529877600,5.702145946
95,T70735C,1529877600,5.778497709
96,T70737A,1529877600,6.902409033
97,T70737B,1529877600,8.098418736
98,T70737C,1529877600,8.049362169
99,T70738A,1529877600,14.73118621
100,T70738B,1529877600,4.084734772
101,T70738C,1529877600,7.111752493
102,T70743A,1529877600,0.240343824
103,T70743B,1529877600,6.041503003
104,T70743C,1529877600,2.262270707
105,T70744A,1529877600,13.39206733
106,T70744B,1529877600,16.27297634
107,T70744C,1529877600,2.558767016
108,T70745A,1529877600,7.474139123
109,T70745B,1529877600,6.261245427
110,T70745C,1529877600,6.467224506
111,T70747A,1529877600,1.177133894
112,T70747B,1529877600,1.158610314
113,T70747C,1529877600,15.99767743
114,T76995A,1529877600,8.358976188
115,T76995B,1529877600,2.194159073
116,T76995C,1529877600,6.437766483
117,T77125A,1529877600,3.224277745
118,T77125B,1529877600,1.343933857
119,T77125C,1529877600,15.7221015
120,T78256A,1529877600,15.25584859
121,T78256B,1529877600,14.41480739
122,T78256C,1529877600,14.41253751
123,T78258A,1529877600,8.549345606
124,T78258B,1529877600,11.60123639
125,T78258C,1529877600,21.97391959
126,T78259A,1529877600,7.541466101
127,T78259B,1529877600,6.381820778
128,T78259C,1529877600,4.710632958
129,T78262A,1529877600,9.93805609
130,T78262B,1529877600,7.240216368
131,T78262C,1529877600,9.255709401
132,T78264A,1529877600,0.657950433
133,T78264B,1529877600,0.690440192
134,T78264C,1529877600,2.687710844
135,T78269A,1529877600,10.04690546
136,T78269B,1529877600,16.23240719
137,T78269C,1529877600,3.677311567
138,T78270A,1529877600,6.739540622
139,T78270B,1529877600,1.603685364
140,T78270C,1529877600,2.940694105
141,T78271A,1529877600,15.21484085
142,T78271B,1529877600,12.24715906
143,T78271C,1529877600,29.14460424
144,T78273A,1529877600,2.278951179
145,T78273B,1529877600,11.04082002
146,T78273C,1529877600,18.90995883
147,T78274A,1529877600,12.11864618
148,T78274B,1529877600,2.594730864
149,T78274C,1529877600,5.703991885
150,T78279A,1529877600,2.277250081
151,T78279B,1529877600,0.679757795
152,T78279C,1529877600,2.516191862
153,T78280A,1529877600,1.363907014
154,T78280B,1529877600,11.64178969
155,T78280C,1529877600,3.38568157
156,T70721A,1530482400,0.306240878
157,T70721B,1530482400,2.05539898
158,T70721C,1530482400,0.166606091
159,T70722A,1530482400,4.308253832
160,T70722B,1530482400,11.06506378
161,T70722C,1530482400,8.677515946
162,T70724A,1530482400,8.559007026
163,T70724B,1530482400,4.73472548
164,T70724C,1530482400,7.249532741
165,T70725A,1530482400,9.122878302
166,T70725B,1530482400,11.56914286
167,T70725C,1530482400,8.64792459
168,T70730A,1530482400,24.30304791
169,T70730B,1530482400,9.542856109
170,T70730C,1530482400,9.017327388
171,T70735A,1530482400,12.71881054
172,T70735B,1530482400,7.541660165
173,T70735C,1530482400,6.177722507
174,T70737A,1530482400,6.520125694
175,T70737B,1530482400,6.79482123
176,T70737C,1530482400,8.164580932
177,T70738A,1530482400,12.01483514
178,T70738B,1530482400,4.438335735
179,T70738C,1530482400,7.639417804
180,T70743A,1530482400,0.228532892
181,T70743B,1530482400,6.203985252
182,T70743C,1530482400,2.416246353
183,T70744A,1530482400,9.222719049
184,T70744B,1530482400,15.02420739
185,T70744C,1530482400,3.608361268
186,T70745A,1530482400,6.098563418
187,T70745B,1530482400,7.122010543
188,T70745C,1530482400,5.374229043
189,T70747A,1530482400,1.127044249
190,T70747B,1530482400,1.20480742
191,T70747C,1530482400,11.94457642
192,T76995A,1530482400,5.975497006
193,T76995B,1530482400,1.583566022
194,T76995C,1530482400,5.956418626
195,T77125A,1530482400,3.989936556
196,T77125B,1530482400,3.644677102
197,T77125C,1530482400,19.43065129
198,T78256A,1530482400,15.11845771
199,T78256B,1530482400,12.36045148
200,T78256C,1530482400,14.07202503
201,T78258A,1530482400,8.807252407
202,T78258B,1530482400,12.19859284
203,T78258C,1530482400,18.82783874
204,T78259A,1530482400,6.749260547
205,T78259B,1530482400,6.964139182
206,T78259C,1530482400,3.81294493
207,T78262A,1530482400,9.329218671
208,T78262B,1530482400,7.298584646
209,T78262C,1530482400,10.0448698
210,T78264A,1530482400,0.838344562
211,T78264B,1530482400,1.316286388
212,T78264C,1530482400,3.1310967
213,T78269A,1530482400,11.08555708
214,T78269B,1530482400,12.9865357
215,T78269C,1530482400,3.36271733
216,T78270A,1530482400,6.091833955
217,T78270B,1530482400,1.648453203
218,T78270C,1530482400,2.331118109
219,T78271A,1530482400,14.74364373
220,T78271B,1530482400,18.47945164
221,T78271C,1530482400,26.01339332
222,T78273A,1530482400,2.219658537
223,T78273B,1530482400,12.05619196
224,T78273C,1530482400,18.51833062
225,T78274A,1530482400,14.36311971
226,T78274B,1530482400,2.628766977
227,T78274C,1530482400,5.627042945
228,T78279A,1530482400,1.941217513
229,T78279B,1530482400,0.54115533
230,T78279C,1530482400,1.914040914
231,T78280A,1530482400,0.696459804
232,T78280B,1530482400,11.4272038
233,T78280C,1530482400,5.464418769
234,T70721A,1531087200,1.290797653
235,T70721B,1531087200,2.272417349
236,T70721C,1531087200,0.312016301
237,T70722A,1531087200,3.9662489
238,T70722B,1531087200,8.894032899
239,T70722C,1531087200,11.02007938
240,T70724A,1531087200,8.80303723
241,T70724B,1531087200,6.064114224
242,T70724C,1531087200,9.517353338
243,T70725A,1531087200,11.20804351
244,T70725B,1531087200,14.23604689
245,T70725C,1531087200,11.70185788
246,T70730A,1531087200,23.72189036
247,T70730B,1531087200,10.33493114
248,T70730C,1531087200,8.70337987
249,T70735A,1531087200,9.018395866
250,T70735B,1531087200,6.348322005
251,T70735C,1531087200,6.661369074
252,T70737A,1531087200,5.777495027
253,T70737B,1531087200,6.330785558
254,T70737C,1531087200,5.482401097
255,T70738A,1531087200,14.41366344
256,T70738B,1531087200,4.192847386
257,T70738C,1531087200,8.722599731
258,T70743A,1531087200,0.368071471
259,T70743B,1531087200,6.155018506
260,T70743C,1531087200,2.844553636
261,T70744A,1531087200,14.0097075
262,T70744B,1531087200,19.8171456
263,T70744C,1531087200,7.060411786
264,T70745A,1531087200,7.443151612
265,T70745B,1531087200,7.63811471
266,T70745C,1531087200,3.909944675
267,T70747A,1531087200,1.949512467
268,T70747B,1531087200,0.898634098
269,T70747C,1531087200,12.77073096
270,T76995A,1531087200,6.535898388
271,T76995B,1531087200,2.916873165
272,T76995C,1531087200,6.179238572
273,T77125A,1531087200,2.12209004
274,T77125B,1531087200,4.719461466
275,T77125C,1531087200,29.12982374
276,T78256A,1531087200,16.74316179
277,T78256B,1531087200,12.12472286
278,T78256C,1531087200,15.34621036
279,T78258A,1531087200,20.64031432
280,T78258B,1531087200,15.28564018
281,T78258C,1531087200,31.1413442
282,T78259A,1531087200,8.934040612
283,T78259B,1531087200,7.515165269
284,T78259C,1531087200,2.903889969
285,T78262A,1531087200,9.765427017
286,T78262B,1531087200,8.167108393
287,T78262C,1531087200,10.85920126
288,T78264A,1531087200,1.411379465
289,T78264B,1531087200,1.783722914
290,T78264C,1531087200,6.856925831
291,T78269A,1531087200,11.45482839
292,T78269B,1531087200,11.88856383
293,T78269C,1531087200,4.043913666
294,T78270A,1531087200,7.71893431
295,T78270B,1531087200,1.951115695
296,T78270C,1531087200,2.118007192
297,T78271A,1531087200,16.11971222
298,T78271B,1531087200,14.68782965
299,T78271C,1531087200,36.39349112
300,T78273A,1531087200,2.407170616
301,T78273B,1531087200,12.28121934
302,T78273C,1531087200,22.45047257
303,T78274A,1531087200,26.92250969
304,T78274B,1531087200,3.69213592
305,T78274C,1531087200,10.82804327
306,T78279A,1531087200,1.82026662
307,T78279B,1531087200,0.549403617
308,T78279C,1531087200,2.006485051
309,T78280A,1531087200,0.724611695
310,T78280B,1531087200,10.78202628
311,T78280C,1531087200,6.380312376
312,T70721A,1531692000,1.098934895
313,T70721B,1531692000,2.108551718
314,T70721C,1531692000,0.350324258
315,T70722A,1531692000,4.35131944
316,T70722B,1531692000,8.153314005
317,T70722C,1531692000,12.70127014
318,T70724A,1531692000,8.940782137
319,T70724B,1531692000,4.414695992
320,T70724C,1531692000,9.262133415
321,T70725A,1531692000,9.911373299
322,T70725B,1531692000,14.00600132
323,T70725C,1531692000,12.33817579
324,T70730A,1531692000,21.56430981
325,T70730B,1531692000,11.79634742
326,T70730C,1531692000,8.839003656
327,T70735A,1531692000,9.569049926
328,T70735B,1531692000,6.166109256
329,T70735C,1531692000,9.204516514
330,T70737A,1531692000,6.124720482
331,T70737B,1531692000,7.391621197
332,T70737C,1531692000,6.138798959
333,T70738A,1531692000,13.1204842
334,T70738B,1531692000,4.005980041
335,T70738C,1531692000,10.25383905
336,T70743A,1531692000,0.428942478
337,T70743B,1531692000,6.15632843
338,T70743C,1531692000,2.862441173
339,T70744A,1531692000,12.8442752
340,T70744B,1531692000,22.38415672
341,T70744C,1531692000,6.522615534
342,T70745A,1531692000,8.883290243
343,T70745B,1531692000,7.475077994
344,T70745C,1531692000,3.594027388
345,T70747A,1531692000,1.566082097
346,T70747B,1531692000,1.020623881
347,T70747C,1531692000,11.40837548
348,T76995A,1531692000,6.900498695
349,T76995B,1531692000,2.043664595
350,T76995C,1531692000,5.419915529
351,T77125A,1531692000,1.811291895
352,T77125B,1531692000,3.897252609
353,T77125C,1531692000,31.93380972
354,T78256A,1531692000,14.39089032
355,T78256B,1531692000,14.81731313
356,T78256C,1531692000,15.05196135
357,T78258A,1531692000,11.58895438
358,T78258B,1531692000,14.17568904
359,T78258C,1531692000,31.67760789
360,T78259A,1531692000,12.05142179
361,T78259B,1531692000,8.998628701
362,T78259C,1531692000,3.102228505
363,T78262A,1531692000,9.88326212
364,T78262B,1531692000,7.817023299
365,T78262C,1531692000,8.77230919
366,T78264A,1531692000,0.976973962
367,T78264B,1531692000,1.428550299
368,T78264C,1531692000,3.817788202
369,T78269A,1531692000,10.4553611
370,T78269B,1531692000,12.72215068
371,T78269C,1531692000,4.055706978
372,T78270A,1531692000,7.112463896
373,T78270B,1531692000,1.828095363
374,T78270C,1531692000,2.429708699
375,T78271A,1531692000,16.42708258
376,T78271B,1531692000,15.73723326
377,T78271C,1531692000,34.90652237
378,T78273A,1531692000,2.412944204
379,T78273B,1531692000,12.96472348
380,T78273C,1531692000,21.33076872
381,T78274A,1531692000,18.56707865
382,T78274B,1531692000,3.687784947
383,T78274C,1531692000,6.025771763
384,T78279A,1531692000,2.36595494
385,T78279B,1531692000,0.639503318
386,T78279C,1531692000,2.062852407
387,T78280A,1531692000,1.565412201
388,T78280B,1531692000,6.482237405
389,T78280C,1531692000,6.15984761
390,T70721A,1532296800,0.956556139
391,T70721B,1532296800,2.41316069
392,T70721C,1532296800,0.343785779
393,T70722A,1532296800,4.641038695
394,T70722B,1532296800,7.960462851
395,T70722C,1532296800,11.63815291
396,T70724A,1532296800,7.81370958
397,T70724B,1532296800,4.760496258
398,T70724C,1532296800,7.822782269
399,T70725A,1532296800,9.24627844
400,T70725B,1532296800,14.7106373
401,T70725C,1532296800,16.06671026
402,T70730A,1532296800,19.16203875
403,T70730B,1532296800,14.25693964
