,site,secteur,Nb Secteurs,X,Y,Code INSEE,unite,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz,trafic
0,T70730,T70730A,3,332710,2132198,17028,LA ROCHELLE,False,True,True,True,False,False,44.0
1,T70730,T70730B,3,332710,2132198,17028,LA ROCHELLE,False,True,True,True,False,False,42.1
2,T70730,T70730C,3,332710,2132198,17028,LA ROCHELLE,False,True,True,True,False,False,20.4
3,T78259,T78259A,3,334998,2134973,17274,LA ROCHELLE,True,False,True,True,True,True,40.5
4,T78259,T78259B,3,334998,2134973,17274,LA ROCHELLE,True,False,True,True,True,True,45.2
5,T78259,T78259C,3,334998,2134973,17274,LA ROCHELLE,True,False,True,True,True,True,75.1
6,T70745,T70745A,3,333740,2138512,17291,LA ROCHELLE,False,True,True,True,False,False,50.1
7,T70745,T70745B,3,333740,2138512,17291,LA ROCHELLE,False,True,True,True,False,False,42.9
8,T70745,T70745C,3,333740,2138512,17291,LA ROCHELLE,False,True,True,True,False,False,10.2
9,T70747,T70747A,3,330348,2141263,17264,LA ROCHELLE,False,True,True,False,False,False,12.3
10,T70747,T70747B,3,330348,2141263,17264,LA ROCHELLE,False,True,True,False,False,False,14.6
11,T70747,T70747C,3,330348,2141263,17264,LA ROCHELLE,False,True,True,False,False,False,6.0
12,T78264,T78264A,3,325260,2135700,17300,LA ROCHELLE,False,True,True,False,False,False,6.1
13,T78264,T78264B,3,325260,2135700,17300,LA ROCHELLE,False,True,True,False,False,False,10.0
14,T78264,T78264C,3,325260,2135700,17300,LA ROCHELLE,False,True,True,False,False,False,8.2
15,T78270,T78270A,3,329209,2135671,17300,LA ROCHELLE,True,True,True,True,True,True,36.9
16,T78270,T78270B,3,329209,2135671,17300,LA ROCHELLE,True,True,True,True,True,True,32.4
17,T78270,T78270C,3,329209,2135671,17300,LA ROCHELLE,True,True,True,True,True,True,35.3
18,T70738,T70738A,3,328550,2134560,17300,LA ROCHELLE,True,True,True,True,True,True,45.8
19,T70738,T70738B,3,328550,2134560,17300,LA ROCHELLE,True,True,True,True,True,True,24.2
20,T70738,T70738C,3,328550,2134560,17300,LA ROCHELLE,True,True,True,True,True,True,54.7
21,T36870,T36870A,2,339649,2128802,17420,LA ROCHELLE,False,True,True,False,False,False,15.4
22,T36870,T36870B,2,339649,2128802,17420,LA ROCHELLE,False,True,True,False,False,False,5.6
23,T78256,T78256A,3,327930,2135899,17300,LA ROCHELLE,True,True,True,True,False,True,43.4
24,T78256,T78256B,3,327930,2135899,17300,LA ROCHELLE,True,True,True,True,False,True,82.5
25,T78256,T78256C,3,327930,2135899,17300,LA ROCHELLE,True,True,True,True,False,True,53.7
26,T78274,T78274A,3,330815,2134120,17300,LA ROCHELLE,False,True,True,True,False,False,87.6
27,T78274,T78274B,3,330815,2134120,17300,LA ROCHELLE,False,True,True,True,False,False,26.3
28,T78274,T78274C,3,330815,2134120,17300,LA ROCHELLE,False,True,True,True,False,False,41.7
29,T77125,T77125A,3,336170,2124950,17094,LA ROCHELLE,True,True,True,True,True,True,27.9
30,T77125,T77125B,3,336170,2124950,17094,LA ROCHELLE,True,True,True,True,True,True,18.0
31,T77125,T77125C,3,336170,2124950,17094,LA ROCHELLE,True,True,True,True,True,True,63.8
32,T78280,T78280A,3,326663,2134352,17300,LA ROCHELLE,False,True,True,False,False,False,10.5
33,T78280,T78280B,3,326663,2134352,17300,LA ROCHELLE,False,True,True,False,False,False,16.0
34,T78280,T78280C,3,326663,2134352,17300,LA ROCHELLE,False,True,True,False,False,False,27.6
35,T78262,T78262A,3,330700,2135150,17300,LA ROCHELLE,False,True,True,True,True,False,73.2
36,T78262,T78262B,3,330700,2135150,17300,LA ROCHELLE,False,True,True,True,True,False,43.5
37,T78262,T78262C,3,330700,2135150,17300,LA ROCHELLE,False,True,True,True,True,False,55.8
38,T76995,T76995A,3,338993,2130434,17420,LA ROCHELLE,False,True,True,False,False,False,11.2
39,T76995,T76995B,3,338993,2130434,17420,LA ROCHELLE,False,True,True,False,False,False,6.7
40,T76995,T76995C,3,338993,2130434,17420,LA ROCHELLE,False,True,True,False,False,False,14.5
41,T70737,T70737A,3,331250,2136350,17300,LA ROCHELLE,True,True,True,True,True,True,35.7
42,T70737,T70737B,3,331250,2136350,17300,LA ROCHELLE,True,True,True,True,True,True,40.8
43,T70737,T70737C,3,331250,2136350,17300,LA ROCHELLE,True,True,True,True,True,True,20.3
44,T70724,T70724A,3,330420,2136140,17300,LA ROCHELLE,False,True,True,True,True,False,38.9
45,T70724,T70724B,3,330420,2136140,17300,LA ROCHELLE,False,True,True,True,True,False,25.6
46,T70724,T70724C,3,330420,2136140,17300,LA ROCHELLE,False,True,True,True,True,False,30.8
47,T70721,T70721A,3,334257,2132312,17028,LA ROCHELLE,False,True,False,False,False,False,3.8
48,T70721,T70721B,3,334257,2132312,17028,LA ROCHELLE,False,True,False,False,False,False,3.6
49,T70721,T70721C,3,334257,2132312,17028,LA ROCHELLE,False,True,False,False,False,False,1.6
50,T78269,T78269A,3,332350,2134075,17300,LA ROCHELLE,True,True,True,True,True,True,85.5
51,T78269,T78269B,3,332350,2134075,17300,LA ROCHELLE,True,True,True,True,True,True,65.3
52,T78269,T78269C,3,332350,2134075,17300,LA ROCHELLE,True,True,True,True,True,True,36.9
53,T78271,T78271A,3,331270,2134765,17300,LA ROCHELLE,False,True,True,True,True,False,73.4
54,T78271,T78271B,3,331270,2134765,17300,LA ROCHELLE,False,True,True,True,True,False,72.1
55,T78271,T78271C,3,331270,2134765,17300,LA ROCHELLE,False,True,True,True,True,False,117.4
56,T70744,T70744A,3,329300,2132650,17300,LA ROCHELLE,True,True,True,True,True,True,73.8
57,T70744,T70744B,3,329300,2132650,17300,LA ROCHELLE,True,True,True,True,True,True,98.0
58,T70744,T70744C,3,329300,2132650,17300,LA ROCHELLE,True,True,True,True,True,True,22.9
59,T70735,T70735A,3,326201,2135375,17300,LA ROCHELLE,True,True,True,True,True,True,26.9
60,T70735,T70735B,3,326201,2135375,17300,LA ROCHELLE,True,True,True,True,True,True,21.0
61,T70735,T70735C,3,326201,2135375,17300,LA ROCHELLE,True,True,True,True,True,True,23.7
62,T78258,T78258A,3,330075,2133875,17300,LA ROCHELLE,False,True,True,True,False,False,39.4
63,T78258,T78258B,3,330075,2133875,17300,LA ROCHELLE,False,True,True,True,False,False,93.3
64,T78258,T78258C,3,330075,2133875,17300,LA ROCHELLE,False,True,True,True,False,False,61.2
65,T70736,T70736A,3,330516,2134754,17300,LA ROCHELLE,False,True,False,False,False,False,18.1
66,T70736,T70736B,3,330516,2134754,17300,LA ROCHELLE,False,True,False,False,False,False,37.8
