T78274A 64.39306 388.42039 site
T78269A 213.21256 290.85289 site
T78271C 85.85741 290.4645 site
T78259C 198.903 265.90508 site
T78258B 64.39306 239.08979 site
T70744A 213.21256 237.03995 ('5g', '3500')
T78273C 213.21256 233.9107 ('5g', '3500')
T70744B 213.21256 225.25989 ('5g', '3500')
T78262A 85.85741 224.91193 site
T78274C 64.39306 222.88799 site
T78269B 213.21256 189.87536 ('5g', '3500')
T78258A 64.39306 188.01553 site
T77125C 213.21256 186.36803 ('5g', '3500')
T78258C 64.39306 180.07578 ('5g', '3500')
T78273B 213.21256 146.39127 ('pa', '1800')
T78271A 85.85741 142.84588 ('5g', '3500')
T78280C 42.9287 142.33051 ('5g', '3500')
T78256C 191.74821 139.06865 ('5g', '3500')
T78271B 85.85741 138.85665 ('5g', '3500')
T70745B 64.39306 125.25556 ('5g', '3500')
T78269C 213.21256 120.72103 ('5g', '3500')
T70736C 14.30957 120.41623 ('5g', '3500')
T70725A 85.85741 113.38225 ('5g', '3500')
T70737B 213.21256 110.81085 ('5g', '3500')
T70730A 64.39306 110.63811 ('5g', '3500')
T78270A 213.21256 108.01551 ('5g', '3500')
T78256B 191.74821 106.34676 ('pa', '1800')
T70738A 213.21256 102.71041 ('pa', '1800')
T70745A 64.39306 100.85308 ('5g', '3500')
T70738B 213.21256 98.33191 ('5g', '3500')
T70747C 42.9287 94.46449 ('5g', '3500')
T70722B 213.21256 93.91228 ('pa', '1800')
T70725B 85.85741 93.78497 ('5g', '1800')
T78262C 85.85741 90.35955 ('pa', '1800')
T70736B 14.30957 89.49027 ('5g', '3500')
T70722C 213.21256 88.79767 ('pa', '1800')
T70738C 213.21256 86.81816 ('pa', '1800')
T70730B 64.39306 85.28576 ('5g', '3500')
T70731B 85.85741 84.67009 ('pa', '1800')
T70731C 85.85741 84.60275 ('pa', '1800')
T70724C 85.85741 82.8847 ('pa', '1800')
T78270C 213.21256 82.50144 ('pa', '1800')
T70737A 213.21256 81.99177 ('pa', '1800')
T78262B 85.85741 81.1009 ('pa', '1800')
T70724A 85.85741 79.50757 ('pa', '1800')
T70735C 213.21256 72.25031 ('pa', '1800')
T77125A 213.21256 68.44928 ('pa', '1800')
T78274B 64.39306 68.25991 ('5g', '3500')
T70744C 213.21256 66.15954 ('pa', '1800')
T78259B 198.903 64.83123 ('pa', '1800')
T78259A 198.903 63.62313 ('pa', '1800')
T70747A 42.9287 62.95471 ('5g', '3500')
T70747B 42.9287 61.91044 ('5g', '3500')
T77125B 213.21256 56.70075 ('pa', '1800')
T78256A 191.74821 56.43386 ('pa', '1800')
T70724B 85.85741 55.44643 ('pa', '1800')
T36870A 42.9287 52.89304 ('5g', '1800')
T70735B 213.21256 50.37734 ('pa', '1800')
T70725C 85.85741 48.86791 ('pa', '1800')
T70735A 213.21256 48.21107 ('pa', '1800')
T78273A 213.21256 46.81831 ('pa', '1800')
T78280A 42.9287 43.8695 ('5g', '3500')
T78270B 213.21256 42.68394 ('pa', '1800')
T78280B 42.9287 42.31441 ('pa', '1800')
T70737C 213.21256 41.42777 ('pa', '1800')
T70736A 14.30957 41.03853 ('5g', '1800')
T76995C 42.9287 35.7116 ('pa', '1800')
T78264C 42.9287 30.81422 ('pa', '1800')
T70722A 213.21256 27.03346 ('pa', '1800')
T70743B 85.85741 25.45164 ('pa', '1800')
T70730C 64.39306 23.50652 ('pa', '1800')
T70743C 85.85741 22.26339 ('pa', '1800')
T76995B 42.9287 20.63575 ('pa', '800')
T70731A 85.85741 18.38576 ('pa', '1800')
T78264B 42.9287 16.5492 ('pa', '1800')
T76995A 42.9287 16.42824 ('pa', '1800')
T78279C 14.30957 16.25619 ('pa', '1800')
T70745C 64.39306 15.36067 ('pa', '1800')
T78279A 14.30957 15.11284 ('pa', '1800')
T36870B 42.9287 15.06745 ('pa', '1800')
T78264A 42.9287 12.4925 ('pa', '1800')
T70743A 85.85741 9.66922 ('pa', '1800')
T78279B 14.30957 8.45413 ('pa', '1800')
T70721B 14.30957 7.63648 ('pa', '1800')
T70721A 14.30957 5.14908 ('pa', '1800')
T70721C 14.30957 2.10495 ('pa', '1800')
